season,champion_team,team_code,player_id,player_name,player_url,number,position,height,weight,birth_date,birth_place,experience,college
2020-21,Milwaukee Bucks,MIL,adamsja01,Jaylen Adams,https://www.basketball-reference.com/players/a/adamsja01.html,6,PG,6-0,225,1996-05-04,us US,2,St. Bonaventure
2020-21,Milwaukee Bucks,MIL,antetgi01,Giannis Antetokounmpo,https://www.basketball-reference.com/players/a/antetgi01.html,34,PF,6-11,243,1994-12-06,gr GR,7,
2020-21,Milwaukee Bucks,MIL,antetth01,Thanasis Antetokounmpo,https://www.basketball-reference.com/players/a/antetth01.html,43,SF,6-7,219,1992-07-18,gr GR,2,
2020-21,Milwaukee Bucks,MIL,augusdj01,D.J. Augustin,https://www.basketball-reference.com/players/a/augusdj01.html,12,PG,5-11,183,1987-11-10,us US,12,Texas
2020-21,Milwaukee Bucks,MIL,bryanel01,Elijah Bryant,https://www.basketball-reference.com/players/b/bryanel01.html,3,SG,6-5,210,1995-04-19,us US,R,"Elon University , BYU"
2020-21,Milwaukee Bucks,MIL,connapa01,Pat Connaughton,https://www.basketball-reference.com/players/c/connapa01.html,24,SG,6-5,209,1993-01-06,us US,5,Notre Dame
2020-21,Milwaukee Bucks,MIL,craigto01,Torrey Craig,https://www.basketball-reference.com/players/c/craigto01.html,3,SF,6-5,221,1990-12-19,us US,3,USC Upstate
2020-21,Milwaukee Bucks,MIL,diakima01,Mamadi Diakite,https://www.basketball-reference.com/players/d/diakima01.html,25,PF,6-9,228,1997-01-21,gn GN,R,Virginia
2020-21,Milwaukee Bucks,MIL,divindo01,Donte DiVincenzo,https://www.basketball-reference.com/players/d/divindo01.html,0,SG,6-4,203,1997-01-31,us US,2,Villanova
2020-21,Milwaukee Bucks,MIL,forbebr01,Bryn Forbes,https://www.basketball-reference.com/players/f/forbebr01.html,7,SG,6-2,205,1993-07-23,us US,4,Michigan State
2020-21,Milwaukee Bucks,MIL,holidjr01,Jrue Holiday,https://www.basketball-reference.com/players/h/holidjr01.html,21,PG,6-4,220,1990-06-12,us US,11,UCLA
