season,player_id,player_name,player_url,age,team,position,games,games_started,minutes,win_shares,ws_per_48,bpm,vorp
2019-20,mccolcj01,CJ McCollum,https://www.basketball-reference.com/players/m/mccolcj01.html,28,POR,SG,70,70,2556,4.1,0.077,0.5,1.6
2019-20,bookede01,Devin Booker,https://www.basketball-reference.com/players/b/bookede01.html,23,PHO,SG,70,70,2512,7.5,0.143,2.2,2.6
2019-20,hardeja01,James Harden,https://www.basketball-reference.com/players/h/hardeja01.html,30,HOU,SG,68,68,2483,13.1,0.254,9.6,7.3
2019-20,barneha02,Harrison Barnes,https://www.basketball-reference.com/players/b/barneha02.html,27,SAC,PF,72,72,2482,4.6,0.088,-1.3,0.5
2019-20,lillada01,Damian Lillard,https://www.basketball-reference.com/players/l/lillada01.html,29,POR,PG,66,66,2474,11.6,0.225,7.5,5.9
2019-20,harrito02,Tobias Harris,https://www.basketball-reference.com/players/h/harrito02.html,27,PHI,PF,72,72,2469,6.2,0.121,0.8,1.8
2019-20,tuckepj01,P.J. Tucker,https://www.basketball-reference.com/players/t/tuckepj01.html,34,HOU,PF,72,72,2467,4.0,0.078,-1.9,0.1
2019-20,gilgesh01,Shai Gilgeous-Alexander,https://www.basketball-reference.com/players/g/gilgesh01.html,21,OKC,SG,70,70,2428,6.1,0.121,1.7,2.2
2019-20,adebaba01,Bam Adebayo,https://www.basketball-reference.com/players/a/adebaba01.html,22,MIA,PF,72,72,2417,8.5,0.168,3.4,3.3
2019-20,mitchdo01,Donovan Mitchell,https://www.basketball-reference.com/players/m/mitchdo01.html,23,UTA,SG,69,69,2364,5.4,0.11,1.9,2.3
2019-20,jokicni01,Nikola Jokić,https://www.basketball-reference.com/players/j/jokicni01.html,24,DEN,C,73,73,2336,9.8,0.202,7.4,5.5
2019-20,goberru01,Rudy Gobert,https://www.basketball-reference.com/players/g/goberru01.html,27,UTA,C,68,68,2333,10.7,0.221,3.6,3.3
2019-20,derozde01,DeMar DeRozan,https://www.basketball-reference.com/players/d/derozde01.html,30,SAS,SF,68,68,2316,7.3,0.151,1.9,2.3
2019-20,jamesle01,LeBron James,https://www.basketball-reference.com/players/j/jamesle01.html,35,LAL,PG,67,67,2316,9.8,0.204,8.4,6.1
2019-20,tatumja01,Jayson Tatum,https://www.basketball-reference.com/players/t/tatumja01.html,21,BOS,PF,66,66,2265,6.9,0.146,4.0,3.4
2019-20,hieldbu01,Buddy Hield,https://www.basketball-reference.com/players/h/hieldbu01.html,27,SAC,SG,72,44,2216,3.0,0.064,1.1,1.7
2019-20,grahade01,Devonte' Graham,https://www.basketball-reference.com/players/g/grahade01.html,24,CHO,PG,63,53,2211,3.4,0.073,0.5,1.4
2019-20,paulch01,Chris Paul,https://www.basketball-reference.com/players/p/paulch01.html,34,OKC,PG,70,70,2208,8.9,0.193,4.4,3.5
