season,mvp_rank,player_id,player_name,player_url,team,mvp_share
2019-20,1,antetgi01,Giannis Antetokounmpo,/players/a/antetgi01.html,MIL,0.952
2019-20,2,jamesle01,LeBron James,/players/j/jamesle01.html,LAL,0.746
2019-20,3,hardeja01,James Harden,/players/h/hardeja01.html,HOU,0.363
2019-20,4,doncilu01,Luka Dončić,/players/d/doncilu01.html,DAL,0.198
2019-20,5,leonaka01,Kawhi Leonard,/players/l/leonaka01.html,LAC,0.166
2019-20,6,davisan02,Anthony Davis,/players/d/davisan02.html,LAL,0.081
2019-20,7,paulch01,Chris Paul,/players/p/paulch01.html,OKC,0.026
2019-20,8,lillada01,Damian Lillard,/players/l/lillada01.html,POR,0.023
2019-20,9,jokicni01,Nikola Jokić,/players/j/jokicni01.html,DEN,0.018
2019-20,10,siakapa01,Pascal Siakam,/players/s/siakapa01.html,TOR,0.017
2019-20,11,butleji01,Jimmy Butler,/players/b/butleji01.html,MIA,0.009
2019-20,12,tatumja01,Jayson Tatum,/players/t/tatumja01.html,BOS,0.001
