,player_id,full_name,birth_date,born,height,weight,nationality,position,shoots,college,high_school,career_length,link,G,PTS,AST,FG%,FT%,WS,TRB,FG3%,eFG%,PER
0,aubucch01,Chet Aubuchon,"May 18 , 1916","Gary, Indiana us",178,62,us,Guard,Right,Michigan State,"Horace Mann in Gary, Indiana",1 year,https://www.basketball-reference.com/players/a/aubucch01.html,30.0,2.2,0.7,25.3,54.3,1.2,,,,
1,willial06,Alondes Williams,"June 19 , 1999","Milwaukee , Wisconsin us",193,95,us,Shooting Guard,Right,"Colleges: Triton College , Oklahoma , Wake Forest","Riverside University in Milwaukee, Wisconsin",,https://www.basketball-reference.com/players/w/willial06.html,13.0,4.2,1.0,55.6,88.9,0.2,2.1,31.6,63.9,15.1
2,barnhle01,Leo Barnhorst,"May 11 , 1924","Indianapolis, Indiana us",193,86,us,Small Forward,Right,Notre Dame,"Cathedral in Indianapolis, Indiana",5 years,https://www.basketball-reference.com/players/b/barnhle01.html,344.0,9.4,3.2,36.8,66.5,13.3,5.4,,,14.2
3,morriis01,Isaiah Morris,"April 2 , 1969","Richmond, Virginia us",203,103,us,Small Forward,Right,Arkansas,"Huguenot in Richmond, Virginia",1 year,https://www.basketball-reference.com/players/m/morriis01.html,25.0,2.2,0.2,45.6,75.0,0.0,0.5,,45.6,10.6
4,jacksja01,Jaren Jackson,"October 27 , 1967","New Orleans, Louisiana us",193,86,us,Shooting Guard,Right,Georgetown,"Walter Cohen in New Orleans, Louisiana",12 years,https://www.basketball-reference.com/players/j/jacksja01.html,431.0,5.5,1.2,39.1,76.4,11.5,1.8,35.3,46.9,10.1
5,santogu01,Gui Santos,"June 22 , 2002","Brasilia, Brazil br",201,83,br,Power Forward,Right,,,,https://www.basketball-reference.com/players/s/santogu01.html,147.0,6.4,1.7,49.0,73.7,5.2,3.3,34.7,57.8,13.5
6,gillan01,Anthony Gill,"October 17 , 1992","High Point, North Carolina us",201,104,us,Power Forward,Right,"Colleges: South Carolina , Virginia","Charlotte Christian in Charlotte, North Carolina",,https://www.basketball-reference.com/players/g/gillan01.html,285.0,3.8,0.7,54.5,74.9,5.8,1.9,31.2,58.5,12.5
7,rhodege01,Gene Rhodes,"September 2 , 1927","St. Louis, Missouri us",185,77,us,Shooting Guard,Right,Western Kentucky,"Male in Louisville, Kentucky",1 year,https://www.basketball-reference.com/players/r/rhodege01.html,65.0,5.2,1.4,31.9,70.4,0.9,1.5,,,11.2
8,brownle02,Lewis Brown,"February 19 , 1955","Los Angeles, California us",211,102,us,Center,Left,UNLV,"Verbum Dei in Los Angeles, California",1 year,https://www.basketball-reference.com/players/b/brownle02.html,2.0,1.0,0.0,0.0,40.0,-0.1,1.0,,0.0,-18.6
9,hicksph01,Phil Hicks,"January 31 , 1953","Chicago, Illinois us",201,92,us,Small Forward,Right,Tulane,"Brother Rice in Chicago, Illinois",2 years,https://www.basketball-reference.com/players/h/hicksph01.html,57.0,2.3,0.6,44.7,77.8,0.5,1.6,,,11.0
10,harrija01,Jalen Harris,"August 14 , 1998","Dallas, Texas us",196,88,us,Shooting Guard,Right,"Colleges: Louisiana Tech , Nevada","Duncanville in Duncanville, Texas",,https://www.basketball-reference.com/players/h/harrija01.html,13.0,7.4,1.3,50.0,77.8,0.3,1.4,47.2,61.8,15.2
11,dykerge01,Gene Dyker,"February 17 , 1930","Chicago, Illinois us",198,102,us,Forward,Right,DePaul,"Saint Patrick in Chicago, Illinois",1 year,https://www.basketball-reference.com/players/d/dykerge01.html,11.0,1.5,0.5,23.1,50.0,-0.3,1.5,,,0.4
12,conlege01,Gene Conley,"November 10 , 1930","Muskogee, Oklahoma us",203,102,us,Power Forward,Right,Washington State,"Columbia in Richland, Washington",6 years,https://www.basketball-reference.com/players/c/conlege01.html,351.0,5.9,0.6,37.1,65.7,5.1,6.3,,,10.2
13,longwi01,Willie Long,"March 1 , 1950","Fort Wayne, Indiana us",203,102,us,Power Forward and Small Forward,Right,New Mexico,"South Side in Fort Wayne, Indiana",3 years,https://www.basketball-reference.com/players/l/longwi01.html,213.0,11.4,1.0,42.1,77.4,6.9,6.0,0.0,42.1,13.1
14,hillsi01,Simmie Hill,"November 14 , 1946","Midland, Pennsylvania us",201,105,us,Small Forward,Right,"Colleges: Wichita State , Cameron University , West Texas A&M University","Midland in Midland, Pennsylvania",4 years,https://www.basketball-reference.com/players/h/hillsi01.html,252.0,9.7,1.3,43.2,76.3,6.9,5.3,29.3,44.0,11.4
15,pietrmi01,Mickaël Piétrus,"February 7 , 1982","Les Abymes, Guadeloupe gp",198,97,gp,"Small Forward, Shooting Guard, and Point Guard",Right,,,10 years,https://www.basketball-reference.com/players/p/pietrmi01.html,557.0,8.3,0.8,42.5,66.5,19.7,3.1,35.5,51.4,11.6
16,knighne01,Negele Knight,"March 6 , 1967","Detroit, Michigan us",185,79,us,Point Guard,Right,Dayton,"Saint Martin de Porres in Detroit, Michigan",6 years,https://www.basketball-reference.com/players/k/knighne01.html,276.0,6.2,2.8,43.6,73.0,4.2,1.3,26.3,44.4,11.3
17,willidu01,Duck Williams,"August 2 , 1956","Demopolis, Alabama us",188,81,us,Point Guard,Right,Notre Dame,"Mackin in Washington, District of Columbia",1 year,https://www.basketball-reference.com/players/w/willidu01.html,77.0,6.6,2.4,44.7,70.0,-0.3,1.4,0.0,44.7,8.6
18,traorno01,Nolan Traoré,"May 28 , 2006","Créteil, France fr",190,83,fr,Point Guard,Right,,,,https://www.basketball-reference.com/players/t/traorno01.html,56.0,8.9,3.8,38.0,78.7,-1.6,1.8,31.8,44.4,7.9
19,alexavi01,Victor Alexander,"August 31 , 1969","Detroit, Michigan us",206,120,us,Center,Right,Iowa State,"Denby in Detroit, Michigan",5 years,https://www.basketball-reference.com/players/a/alexavi01.html,286.0,8.9,0.9,51.8,63.4,8.8,4.8,28.6,52.2,13.7
20,johnsna01,Nate Johnston,"December 18 , 1966","Birmingham, Alabama us",203,95,us,Small Forward and Power Forward,Right,University of Tampa,"Belle Glade in Belle Glade, Florida",1 year,https://www.basketball-reference.com/players/j/johnsna01.html,21.0,2.2,0.0,37.5,69.2,0.1,1.1,25.0,38.5,14.1
21,crompge01,Geoff Crompton,"July 4 , 1955","Burlington, North Carolina us",211,127,us,Center,Right,UNC,"Walter Williams in Burlington, North Carolina",5 years,https://www.basketball-reference.com/players/c/crompge01.html,82.0,1.2,0.3,37.0,44.2,-0.1,1.7,,37.0,5.6
22,nealji01,Jim Neal,"May 21 , 1930","Silverstreet, South Carolina us",211,106,us,Center,Right,Wofford College,"Silverstreet in Silverstreet, South Carolina",2 years,https://www.basketball-reference.com/players/n/nealji01.html,80.0,4.4,0.4,30.1,60.1,0.1,3.8,,,8.2
23,grahama01,Mal Graham,"February 23 , 1945","Parrott, Georgia us",185,83,us,Point Guard,Right,NYU,"White Plains in White Plains, New York",2 years,https://www.basketball-reference.com/players/g/grahama01.html,70.0,4.7,1.1,39.8,65.7,0.8,1.7,,,8.3
24,gondrgr01,Grant Gondrezick,"January 19 , 1963","Boulder, Colorado us",196,92,us,Shooting Guard,Right,Pepperdine,"Boulder in Boulder, Colorado",2 years,https://www.basketball-reference.com/players/g/gondrgr01.html,91.0,5.0,1.3,43.8,68.7,0.8,1.6,25.0,44.7,11.1
25,satteke01,Kenny Satterfield,"April 10 , 1981","New York, New York us",188,84,us,Point Guard,Right,Cincinnati,"Rice in New York, New York",2 years,https://www.basketball-reference.com/players/s/satteke01.html,75.0,4.3,2.3,33.5,74.6,-1.1,1.3,21.8,35.1,8.3
26,garrero01,Rowland Garrett,"July 16 , 1950","Canton, Mississippi us",198,95,us,Small Forward,Right,Florida State,"Rogers in Canton, Mississippi",5 years,https://www.basketball-reference.com/players/g/garrero01.html,263.0,5.1,0.4,44.1,77.2,5.4,2.3,,,13.4
27,dudlech01,Charles Dudley,"March 5 , 1950","Harrisburg, Pennsylvania us",188,81,us,Point Guard,Right,Washington,"John Harris in Harrisburg, Pennsylvania",6 years,https://www.basketball-reference.com/players/d/dudlech01.html,361.0,5.3,3.4,49.7,67.2,14.0,3.0,,,14.0
28,zipsepa01,Paul Zipser,"February 18 , 1994","Heidelberg, Germany de",203,102,de,Small Forward,Right,,,2 years,https://www.basketball-reference.com/players/z/zipsepa01.html,98.0,4.7,0.8,37.1,76.9,0.0,2.6,33.5,44.8,6.1
29,datomlu01,Gigi Datome,"November 27 , 1987","Montebelluna, Italy it",203,97,it,Small Forward,Right,,,2 years,https://www.basketball-reference.com/players/d/datomlu01.html,55.0,3.4,0.4,41.4,81.8,0.3,1.4,31.6,48.1,11.3
30,mackema01,Malcolm Mackey,"July 11 , 1970","Chattanooga, Tennessee us",206,112,us,Center,Right,Georgia Tech,"Brainerd in Chattanooga, Tennessee",1 year,https://www.basketball-reference.com/players/m/mackema01.html,22.0,1.5,0.0,37.8,50.0,0.1,1.1,0.0,37.8,12.6
31,dampier01,Erick Dampier,"July 14 , 1975","Jackson, Mississippi us",211,120,us,Center,Right,Mississippi State,"Lawrence County in Monticello, Mississippi",16 years,https://www.basketball-reference.com/players/d/dampier01.html,987.0,7.4,0.8,49.8,62.6,52.7,7.1,12.5,49.8,14.3
32,powelmy01,Myles Powell,"July 7 , 1997","Trenton, New Jersey us",188,88,us,Point Guard,Right,Seton Hall,"High Schools: Medford Tech in Medford, New Jersey , Trenton Catholic in Trenton, New Jersey , South Kent School in South Kent, Connecticut",1 year,https://www.basketball-reference.com/players/p/powelmy01.html,11.0,1.2,0.3,29.4,100.0,-0.1,0.5,16.7,32.4,0.2
