,full_name,birth_date,born,height,weight,nationality,position,shoots,college,high_school,career_length,link,G,PTS,AST,FG%,FT%,WS,TRB,PER,eFG%,FG3%
0,Chet Aubuchon,"May 18,1916","Gary,Indianaus",178,62,us,Guard,Right,Michigan State,"Horace Mann in Gary,Indiana",1 year,https://www.basketball-reference.com/players/a/aubucch01.html,30.0,2.2,0.7,25.3,54.3,1.2,,,,
1,Leo Barnhorst,"May 11,1924","Indianapolis,Indianaus",193,86,us,Small Forward,Right,Notre Dame,"Cathedral in Indianapolis,Indiana",5 years,https://www.basketball-reference.com/players/b/barnhle01.html,344.0,9.4,3.2,36.8,66.5,13.3,5.4,14.2,,
2,Isaiah Morris,"April 2,1969","Richmond,Virginiaus",203,103,us,Small Forward,Right,Arkansas,"Huguenot in Richmond,Virginia",1 year,https://www.basketball-reference.com/players/m/morriis01.html,25.0,2.2,0.2,45.6,75.0,0.0,0.5,10.6,45.6,
3,Jaren Jackson,"October 27,1967","New Orleans,Louisianaus",193,86,us,Shooting Guard,Right,Georgetown,"Walter Cohen in New Orleans,Louisiana",12 years,https://www.basketball-reference.com/players/j/jacksja01.html,431.0,5.5,1.2,39.1,76.4,11.5,1.8,10.1,46.9,35.3
4,Anthony Gill,"October 17,1992","High Point,North Carolinaus",201,104,us,Power Forward,Right,"Colleges:South Carolina,Virginia","Charlotte Christian in Charlotte,North Carolina",,https://www.basketball-reference.com/players/g/gillan01.html,285.0,3.8,0.7,54.5,74.9,5.8,1.9,12.5,58.5,31.2
5,Lewis Brown,"February 19,1955","Los Angeles,Californiaus",211,102,us,Center,Left,UNLV,"Verbum Dei in Los Angeles,California",1 year,https://www.basketball-reference.com/players/b/brownle02.html,2.0,1.0,0.0,0.0,40.0,-0.1,1.0,-18.6,0.0,
6,Phil Hicks,"January 31,1953","Chicago,Illinoisus",201,92,us,Small Forward,Right,Tulane,"Brother Rice in Chicago,Illinois",2 years,https://www.basketball-reference.com/players/h/hicksph01.html,57.0,2.3,0.6,44.7,77.8,0.5,1.6,11.0,,
7,Jalen Harris,"August 14,1998","Dallas,Texasus",196,88,us,Shooting Guard,Right,"Colleges:Louisiana Tech,Nevada","Duncanville in Duncanville,Texas",,https://www.basketball-reference.com/players/h/harrija01.html,13.0,7.4,1.3,50.0,77.8,0.3,1.4,15.2,61.8,47.2
8,Gene Dyker,"February 17,1930","Chicago,Illinoisus",198,102,us,Forward,Right,DePaul,"Saint Patrick in Chicago,Illinois",1 year,https://www.basketball-reference.com/players/d/dykerge01.html,11.0,1.5,0.5,23.1,50.0,-0.3,1.5,0.4,,
9,Gene Conley,"November 10,1930","Muskogee,Oklahomaus",203,102,us,Power Forward,Right,Washington State,"Columbia in Richland,Washington",6 years,https://www.basketball-reference.com/players/c/conlege01.html,351.0,5.9,0.6,37.1,65.7,5.1,6.3,10.2,,
10,Willie Long,"March 1,1950","Fort Wayne,Indianaus",203,102,us,Power Forward and Small Forward,Right,New Mexico,"South Side in Fort Wayne,Indiana",3 years,https://www.basketball-reference.com/players/l/longwi01.html,213.0,11.4,1.0,42.1,77.4,6.9,6.0,13.1,42.1,0.0
11,Simmie Hill,"November 14,1946","Midland,Pennsylvaniaus",201,105,us,Small Forward,Right,"Colleges:Wichita State,Cameron University,West Texas A&M University","Midland in Midland,Pennsylvania",4 years,https://www.basketball-reference.com/players/h/hillsi01.html,252.0,9.7,1.3,43.2,76.3,6.9,5.3,11.4,44.0,29.3
12,Mickaël Piétrus,"February 7,1982","Les Abymes,Guadeloupegp",198,97,gp,"Small Forward, Shooting Guard, and Point Guard",Right,,,10 years,https://www.basketball-reference.com/players/p/pietrmi01.html,557.0,8.3,0.8,42.5,66.5,19.7,3.1,11.6,51.4,35.5
